date,currency,rate_to_krw,rate_source,label
2024-01-17,JPY100,903.22,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-17,USD,1329,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-18,JPY100,906.74,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-18,USD,1343.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-19,JPY100,906.57,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-19,USD,1342.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-22,JPY100,901.91,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-22,USD,1336.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-23,JPY100,901.52,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-23,USD,1334.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-24,JPY100,900.82,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-24,USD,1336,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-25,JPY100,907.34,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-25,USD,1339.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-26,JPY100,905.04,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-26,USD,1335.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-29,JPY100,902.62,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-29,USD,1336.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-30,JPY100,906.74,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-30,USD,1336.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-01-31,JPY100,901.89,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-01-31,USD,1330.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-01,JPY100,908.19,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-01,USD,1333.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-02,JPY100,910.24,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-02,USD,1332.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-05,JPY100,892.23,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-05,USD,1325.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-06,JPY100,897.75,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-06,USD,1334.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-07,JPY100,899.65,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-07,USD,1329.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-08,JPY100,895.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-08,USD,1325.3,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-13,JPY100,888.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-13,USD,1327.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-14,JPY100,882.04,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-14,USD,1328.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-15,JPY100,888.48,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-15,USD,1336.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-16,JPY100,889.48,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-16,USD,1333.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-19,JPY100,888.05,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-19,USD,1333,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-20,JPY100,888.37,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-20,USD,1333.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-21,JPY100,892.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-21,USD,1337.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-22,JPY100,888.08,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-22,USD,1335,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-23,JPY100,884.53,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-23,USD,1331,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-26,JPY100,883.11,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-26,USD,1329.3,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-27,JPY100,883.57,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-27,USD,1331.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-28,JPY100,884.73,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-28,USD,1331.3,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-02-29,JPY100,885.76,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-02-29,USD,1334,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-04,JPY100,888.66,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-04,USD,1334.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-05,JPY100,884.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-05,USD,1330.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-06,JPY100,889.57,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-06,USD,1333.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-07,JPY100,894.61,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-07,USD,1335.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-08,JPY100,898.89,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-08,USD,1329.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-11,JPY100,900.47,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-11,USD,1323.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-12,JPY100,894.73,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-12,USD,1314.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-13,JPY100,888.55,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-13,USD,1311.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-14,JPY100,889.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-14,USD,1312.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-15,JPY100,888.12,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-15,USD,1316.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-18,JPY100,891.51,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-18,USD,1328.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-19,JPY100,894.24,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-19,USD,1333,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-20,JPY100,886.81,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-20,USD,1338.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-21,JPY100,887.17,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-21,USD,1338.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-22,JPY100,874.49,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-22,USD,1326.3,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-25,JPY100,883.87,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-25,USD,1336.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-26,JPY100,885.56,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-26,USD,1340.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-27,JPY100,883.24,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-27,USD,1338.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-28,JPY100,889.17,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-28,USD,1345.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-03-29,JPY100,889.48,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-03-29,USD,1346.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-01,JPY100,890.11,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-01,USD,1347.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-02,JPY100,888.32,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-02,USD,1347.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-03,JPY100,892.69,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-03,USD,1353,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-04,JPY100,889.88,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-04,USD,1349.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-05,JPY100,890.53,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-05,USD,1346.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-08,JPY100,891.37,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-08,USD,1351.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-09,JPY100,891.49,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-09,USD,1353.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-11,JPY100,885.55,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-11,USD,1354.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-12,JPY100,890.06,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-12,USD,1363.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-15,JPY100,894.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-15,USD,1371.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-16,JPY100,897.43,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-16,USD,1383.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-17,JPY100,901.91,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-17,USD,1395.3,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-18,JPY100,898.36,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-18,USD,1386.3,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-19,JPY100,889.77,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-19,USD,1375.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-22,JPY100,895.89,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-22,USD,1385,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-23,JPY100,891.89,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-23,USD,1380.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-24,JPY100,890.26,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-24,USD,1377.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-25,JPY100,882.48,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-25,USD,1370,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-26,JPY100,884.79,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-26,USD,1376.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-29,JPY100,869.12,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-29,USD,1375.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-04-30,JPY100,882.68,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-04-30,USD,1378.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-02,JPY100,886.17,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-02,USD,1378,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-03,JPY100,899.92,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-03,USD,1378.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-07,JPY100,885.83,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-07,USD,1365.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-08,JPY100,877.44,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-08,USD,1357.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-09,JPY100,877.12,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-09,USD,1364.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-10,JPY100,880.53,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-10,USD,1367.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-13,JPY100,878.01,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-13,USD,1367.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-14,JPY100,876.95,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-14,USD,1370.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-16,JPY100,885.37,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-16,USD,1369,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-17,JPY100,868.37,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-17,USD,1349.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-20,JPY100,870.25,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-20,USD,1355.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-21,JPY100,867.83,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-21,USD,1356.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-22,JPY100,873.24,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-22,USD,1364.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-23,JPY100,869.63,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-23,USD,1363.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-24,JPY100,869.14,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-24,USD,1364.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-27,JPY100,873.42,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-27,USD,1370,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-28,JPY100,870.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-28,USD,1365.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-29,JPY100,864.71,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-29,USD,1359.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-30,JPY100,865.63,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-30,USD,1364.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-05-31,JPY100,877.84,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-05-31,USD,1376.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-03,JPY100,878.41,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-03,USD,1381.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-04,JPY100,882.03,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-04,USD,1377.6,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-05,JPY100,886.76,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-05,USD,1373.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-07,JPY100,881.54,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-07,USD,1371.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-10,JPY100,871.55,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-10,USD,1366.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-11,JPY100,877.39,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-11,USD,1377.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-12,JPY100,876.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-12,USD,1377.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-13,JPY100,878.56,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-13,USD,1377.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-14,JPY100,872.58,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-14,USD,1371,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-17,JPY100,874.56,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-17,USD,1377.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-18,JPY100,875.22,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-18,USD,1380.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-19,JPY100,874.62,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-19,USD,1380.5,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-20,JPY100,874.01,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-20,USD,1380.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-21,JPY100,870.89,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-21,USD,1383.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-24,JPY100,869.63,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-24,USD,1389.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-25,JPY100,870.38,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-25,USD,1389.7,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-26,JPY100,868.26,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-26,USD,1386.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-27,JPY100,865,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-27,USD,1390.1,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-06-28,JPY100,864.31,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-06-28,USD,1389.2,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-07-01,JPY100,859.57,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-07-01,USD,1382.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-07-02,JPY100,855.38,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-07-02,USD,1380.8,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-07-03,JPY100,859.42,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-07-03,USD,1387.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-07-04,JPY100,859.59,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-07-04,USD,1389.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-07-05,JPY100,856.86,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-07-05,USD,1381.9,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-07-08,JPY100,858.07,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-07-08,USD,1379,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
2024-07-09,JPY100,858.13,BOK ECOS StatisticSearch sample / 731Y001,KRW/JPY(100) BOK basic rate
2024-07-09,USD,1379.4,BOK ECOS StatisticSearch sample / 731Y001,KRW/USD BOK basic rate
